identifier	Read_Count
barcode01_adeI_contig_9071	86
barcode01_adeJ_contig_9071	115
barcode01_adeK_contig_9071	92
barcode01_adeN_contig_2595	50
barcode01_OXA-253_contig_12944	3
barcode01_OXA-253_contig_17975	6
barcode01_OXA-253_contig_19224	36
barcode01_OXA-253_contig_3600	2
barcode01_OXA-253_contig_9223	10
barcode01_OXA-441_contig_4657	83
barcode02_adeI_contig_3070	94
barcode02_adeJ_contig_3070	119
barcode02_adeK_contig_3070	111
barcode02_adeN_contig_6641	68
barcode02_OXA-253_contig_13116	7
barcode02_OXA-253_contig_13933	3
barcode02_OXA-253_contig_3753	8
barcode02_OXA-253_contig_4191	14
barcode02_OXA-253_contig_4192	6
barcode02_OXA-253_contig_5169	14
barcode02_OXA-253_contig_5184	16
barcode02_OXA-253_contig_6702	43
barcode02_OXA-441_contig_6001	57
barcode03_adeI_contig_4434	64
barcode03_adeJ_contig_4434	86
barcode03_adeK_contig_4434	77
barcode03_adeN_contig_10430	49
barcode03_OXA-253_contig_15722	44
barcode03_OXA-253_contig_16297	7
barcode03_OXA-253_contig_2929	11
barcode03_OXA-253_contig_2932	2
barcode03_OXA-253_contig_5306	12
barcode03_OXA-253_contig_5318	17
barcode03_OXA-441_contig_1540	65
barcode04_adeI_contig_2381	88
barcode04_adeJ_contig_2381	115
barcode04_adeK_contig_2381	92
barcode04_adeN_contig_8655	58
barcode04_OXA-253_contig_11824	14
barcode04_OXA-253_contig_4018	15
barcode04_OXA-253_contig_4084	6
barcode04_OXA-253_contig_4568	6
barcode04_OXA-253_contig_4575	33
barcode04_OXA-253_contig_8534	11
barcode04_OXA-441_contig_8208	63
barcode05_adeI_contig_8321	61
barcode05_adeJ_contig_8321	81
barcode05_adeK_contig_8321	70
barcode05_adeN_contig_2409	36
barcode05_OXA-253_contig_12702	6
barcode05_OXA-253_contig_17433	12
barcode05_OXA-253_contig_17460	17
barcode05_OXA-253_contig_2004	14
barcode05_OXA-253_contig_2021	36
barcode05_OXA-253_contig_2037	2
barcode05_OXA-253_contig_2104	17
barcode05_OXA-441_contig_725	31
barcode06_adeI_contig_6084	62
barcode06_adeJ_contig_6084	73
barcode06_adeK_contig_6084	55
barcode06_adeN_contig_3843	28
barcode06_OXA-253_contig_1543	11
barcode06_OXA-253_contig_18085	6
barcode06_OXA-253_contig_5528	42
barcode06_OXA-441_contig_5079	42
barcode06_OXA-738_contig_13895	5
barcode07_adeI_contig_2792	69
barcode07_adeJ_contig_2792	83
barcode07_adeK_contig_2792	60
barcode07_adeK_contig_9130	11
barcode07_adeN_contig_2818	29
barcode07_OXA-253_contig_10183	19
barcode07_OXA-253_contig_10191	7
barcode07_OXA-253_contig_15561	5
barcode07_OXA-253_contig_1640	19
barcode07_OXA-253_contig_1650	4
barcode07_OXA-253_contig_1715	38
barcode07_OXA-253_contig_1761	7
barcode07_OXA-253_contig_5474	10
barcode07_OXA-253_contig_8390	9
barcode07_OXA-441_contig_4177	40
barcode09_adeI_contig_4900	23
barcode09_adeJ_contig_4900	31
barcode09_adeK_contig_4900	28
barcode09_adeN_contig_9335	24
barcode09_OXA-253_contig_12413	24
barcode09_OXA-253_contig_18946	7
barcode09_OXA-253_contig_19636	15
barcode09_OXA-253_contig_3466	76
barcode09_OXA-441_contig_9394	21
barcode10_adeI_contig_443	9
barcode10_adeJ_contig_443	12
barcode10_adeK_contig_443	9
barcode10_OXA-253_contig_1518	15
barcode10_OXA-253_contig_2294	7
barcode10_OXA-253_contig_2295	22
barcode10_OXA-253_contig_2302	7
barcode10_OXA-253_contig_2303	8
barcode10_OXA-253_contig_540	6
barcode10_OXA-253_contig_5670	3
barcode10_OXA-253_contig_6059	6
barcode10_OXA-441_contig_6582	6
barcode11_adeI_contig_14999	26
barcode11_adeJ_contig_14999	29
barcode11_adeK_contig_14999	18
barcode11_adeN_contig_3932	11
barcode11_OXA-253_contig_10802	15
barcode11_OXA-253_contig_14881	10
barcode11_OXA-253_contig_15019	15
barcode11_OXA-253_contig_1893	14
barcode11_OXA-253_contig_1902	57
barcode11_OXA-253_contig_5767	12
barcode11_OXA-253_contig_5769	9
barcode11_OXA-253_contig_6186	9
barcode11_OXA-441_contig_4800	10
barcode12_adeI_contig_4488	33
barcode12_adeJ_contig_4488	41
barcode12_adeK_contig_4488	32
barcode12_adeN_contig_16914	21
barcode12_OXA-253_contig_16485	29
barcode12_OXA-253_contig_2315	14
barcode12_OXA-253_contig_2390	81
barcode12_OXA-253_contig_3463	10
barcode12_OXA-253_contig_508	8
barcode12_OXA-253_contig_7612	10
barcode12_OXA-441_contig_9340	7
