"name"	"taxRank"	"taxID"	"Max"	"barcode18.cladeReads"	"barcode19.cladeReads"	"barcode20.cladeReads"	"barcode21.cladeReads"	"barcode22.cladeReads"	"barcode23.cladeReads"	"barcode24.cladeReads"	"Max.1"	"barcode18.cladeReads.."	"barcode19.cladeReads.."	"barcode20.cladeReads.."	"barcode21.cladeReads.."	"barcode22.cladeReads.."	"barcode23.cladeReads.."	"barcode24.cladeReads.."	"lineage"
"Homo sapiens"	"S"	9606	108400	108401	16742	60661	36429	31798	31760	12860	75.45	75.45	0.4503	0.6796	0.4143	0.3616	0.3621	0.2928	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Primates>Haplorrhini>Simiiformes>Catarrhini>Hominoidea>Hominidae>Homininae>Homo"
"Escherichia coli"	"S"	562	359190	17677	263479	234409	190103	205141	359189	73372	12.3	12.3	7.086	2.626	2.162	2.333	4.095	1.671	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"Escherichia albertii"	"S"	208962	1469	94	1469	729	1409	1423	1389	320	0.06543	0.06543	0.03951	0.008168	0.01603	0.01618	0.01583	0.007286	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Escherichia"
"Klebsiella quasipneumoniae"	"S"	1463165	73095	92	133	2269	3217	3144	3174	73095	1.664	0.06404	0.003577	0.02542	0.03659	0.03575	0.03618	1.664	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella/Raoultella&nbsp;group>Klebsiella"
"Klebsiella pneumoniae"	"S"	573	89073	111	890	29271	19828	20127	19213	89073	2.028	0.07726	0.02394	0.3279	0.2255	0.2289	0.219	2.028	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella/Raoultella&nbsp;group>Klebsiella"
"Klebsiella michiganensis"	"S"	1134687	31703	40	63	2079	3118	2931	2901	31703	0.7219	0.02784	0.001694	0.02329	0.03546	0.03333	0.03307	0.7219	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella/Raoultella&nbsp;group>Klebsiella"
"Raoultella ornithinolytica"	"S"	54291	71430	96	158	1895	1889	1921	1920	71430	1.626	0.06682	0.004249	0.02123	0.02149	0.02185	0.02189	1.626	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella/Raoultella&nbsp;group>Raoultella"
"Raoultella planticola"	"S"	575	47631	52	70	1058	657	636	676	47631	1.085	0.03619	0.001883	0.01185	0.007473	0.007233	0.007706	1.085	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Klebsiella/Raoultella&nbsp;group>Raoultella"
"Salmonella enterica"	"S"	28901	398200	343	398195	5118	7375	6758	5793	5078	10.71	0.2387	10.71	0.05734	0.08388	0.07685	0.06604	0.1156	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Salmonella"
"Enterobacter hormaechei"	"S"	158836	66180	96	405	10319	8191	8084	7490	66180	1.507	0.06682	0.01089	0.1156	0.09317	0.09193	0.08539	1.507	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter>Enterobacter&nbsp;cloacae&nbsp;complex"
"Enterobacter kobei"	"S"	208224	45100	56	143	2586	44790	45100	44328	2771	0.5129	0.03898	0.003846	0.02897	0.5094	0.5129	0.5053	0.0631	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Enterobacter>Enterobacter&nbsp;cloacae&nbsp;complex"
"Kluyvera cryocrescens"	"S"	580	46007	44	76	7350	1707	1765	1756	46007	1.048	0.03063	0.002044	0.08235	0.01942	0.02007	0.02002	1.048	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Enterobacteriaceae>Kluyvera"
"Acinetobacter johnsonii"	"S"	40214	984610	1806	2025	140513	565253	549058	536555	984612	22.42	1.257	0.05446	1.574	6.429	6.244	6.117	22.42	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Moraxellales>Moraxellaceae>Acinetobacter"
"Acinetobacter baumannii"	"S"	470	99011	171	169	23512	51018	48991	46771	99011	2.254	0.119	0.004545	0.2634	0.5803	0.5571	0.5332	2.254	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Moraxellales>Moraxellaceae>Acinetobacter>Acinetobacter&nbsp;calcoaceticus/baumannii&nbsp;complex"
"Acinetobacter pittii"	"S"	48296	49639	74	61	2681	5694	5456	5534	49639	1.13	0.05151	0.001641	0.03004	0.06476	0.06205	0.06309	1.13	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Moraxellales>Moraxellaceae>Acinetobacter>Acinetobacter&nbsp;calcoaceticus/baumannii&nbsp;complex"
"Acinetobacter sp. NEB 394"	"S"	2743575	21699	79	85	7098	12503	12152	11974	21699	0.4941	0.05499	0.002286	0.07952	0.1422	0.1382	0.1365	0.4941	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Moraxellales>Moraxellaceae>Acinetobacter>unclassified&nbsp;Acinetobacter"
"Acinetobacter towneri"	"S"	202956	19886	42	38	6924	19886	18816	18280	8030	0.2262	0.02923	0.001022	0.07757	0.2262	0.214	0.2084	0.1828	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Moraxellales>Moraxellaceae>Acinetobacter"
"Pseudomonas aeruginosa"	"S"	287	846530	949	846531	24859	43223	48647	50323	14692	22.77	0.6605	22.77	0.2785	0.4916	0.5532	0.5737	0.3345	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;aeruginosa&nbsp;group"
"Pseudomonas alcaligenes"	"S"	43263	76220	216	335	27764	71867	75319	76220	3037	0.8689	0.1503	0.009009	0.3111	0.8174	0.8565	0.8689	0.06915	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;aeruginosa&nbsp;group"
"Pseudomonas oleovorans"	"S"	301	19514	48	60	9368	19514	19378	19305	3712	0.222	0.03341	0.001614	0.105	0.222	0.2204	0.2201	0.08452	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;aeruginosa&nbsp;group>Pseudomonas&nbsp;oleovorans/pseudoalcaligenes&nbsp;group"
"Pseudomonas putida"	"S"	303	21639	57	323	5995	14804	14769	14749	21639	0.4927	0.03967	0.008687	0.06717	0.1684	0.168	0.1681	0.4927	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae>Pseudomonas>Pseudomonas&nbsp;putida&nbsp;group"
"Aeromonas caviae"	"S"	648	323750	605	710	87760	59546	61202	59897	323746	7.372	0.4211	0.01909	0.9832	0.6773	0.696	0.6828	7.372	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Aeromonadales>Aeromonadaceae>Aeromonas"
"Aeromonas hydrophila"	"S"	644	51536	105	101	34308	13628	14355	13753	51536	1.173	0.07308	0.002716	0.3844	0.155	0.1632	0.1568	1.173	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Aeromonadales>Aeromonadaceae>Aeromonas"
"Aeromonas veronii"	"S"	654	29999	49	70	29999	15931	16068	15794	13995	0.3361	0.03411	0.001883	0.3361	0.1812	0.1827	0.1801	0.3187	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Aeromonadales>Aeromonadaceae>Aeromonas"
"uncultured Tolumonas sp."	"S"	263765	80991	144	134	31116	80087	80991	79640	624	0.921	0.1002	0.003604	0.3486	0.9109	0.921	0.9079	0.01421	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Aeromonadales>Aeromonadaceae>Tolumonas>environmental&nbsp;samples"
"Tolumonas auensis"	"S"	43948	32912	59	55	32912	29516	29847	29167	881	0.3687	0.04107	0.001479	0.3687	0.3357	0.3394	0.3325	0.02006	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Aeromonadales>Aeromonadaceae>Tolumonas"
"Acidovorax temperans"	"S"	80878	79766	87	78	79766	12896	12757	13346	11125	0.8937	0.06056	0.002098	0.8937	0.1467	0.1451	0.1521	0.2533	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Burkholderiales>Comamonadaceae>Acidovorax"
"Duodenibacillus massiliensis"	"S"	1852381	13255	34	39	4450	12828	13255	13150	814	0.1507	0.02367	0.001049	0.04986	0.1459	0.1507	0.1499	0.01853	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Betaproteobacteria>Burkholderiales>Sutterellaceae>Duodenibacillus"
"Agathobacter rectalis"	"S"	39491	1246800	2120	2133	411231	1246792	1240400	1198721	21126	14.18	1.476	0.05736	4.607	14.18	14.11	13.67	0.481	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Agathobacter"
"Blautia wexlerae"	"S"	418240	163960	300	359	145713	163964	161474	158178	7743	1.865	0.2088	0.009655	1.633	1.865	1.836	1.803	0.1763	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Blautia"
"Blautia obeum"	"S"	40520	110880	153	178	110875	78349	77081	75435	3337	1.242	0.1065	0.004787	1.242	0.8912	0.8766	0.86	0.07598	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Blautia"
"Blautia sp. SC05B48"	"S"	2479767	47318	64	53	47318	36492	36262	34979	1148	0.5301	0.04455	0.001425	0.5301	0.4151	0.4124	0.3988	0.02614	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Blautia>unclassified&nbsp;Blautia"
"Blautia luti"	"S"	89014	59714	43	69	59714	28080	28275	27085	1316	0.669	0.02993	0.001856	0.669	0.3194	0.3215	0.3088	0.02997	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Blautia"
"Coprococcus sp. ART55/1"	"S"	751585	119400	211	230	119403	116598	117705	113941	804	1.339	0.1469	0.006186	1.338	1.326	1.339	1.299	0.01831	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Coprococcus>unclassified&nbsp;Coprococcus"
"Coprococcus comes"	"S"	410072	67344	63	59	61038	66375	67344	61761	1958	0.7658	0.04385	0.001587	0.6839	0.755	0.7658	0.7041	0.04458	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Coprococcus"
"Coprococcus catus"	"S"	116085	27138	36	NA	27138	17796	17733	17333	2212	0.304	0.02506	NA	0.304	0.2024	0.2017	0.1976	0.05037	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Coprococcus"
"Coprococcus eutactus"	"S"	33043	21144	42	59	21144	20154	20079	19669	184	0.2369	0.02923	0.001587	0.2369	0.2292	0.2283	0.2242	0.00419	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Coprococcus"
"Simiaoa sunii"	"S"	2763672	365300	339	375	365297	149834	150926	146745	6238	4.093	0.236	0.01009	4.093	1.704	1.716	1.673	0.142	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Simiaoa"
"Roseburia intestinalis"	"S"	166486	149270	224	294	102089	149272	148305	144050	2014	1.698	0.1559	0.007907	1.144	1.698	1.687	1.642	0.04586	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Roseburia"
"Roseburia hominis"	"S"	301301	38092	86	67	38092	37949	37504	36775	935	0.4316	0.05986	0.001802	0.4268	0.4316	0.4265	0.4192	0.02129	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Roseburia"
"[Ruminococcus] torques"	"S"	33039	93117	126	168	48336	93117	91863	88798	6273	1.059	0.0877	0.004518	0.5415	1.059	1.045	1.012	0.1428	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Mediterraneibacter"
"[Ruminococcus] lactaris"	"S"	46228	38074	63	60	14592	38074	37533	36706	1121	0.4331	0.04385	0.001614	0.1635	0.4331	0.4268	0.4184	0.02553	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Mediterraneibacter"
"Dorea longicatena"	"S"	88431	67226	82	105	67226	47475	46489	45037	2836	0.7532	0.05708	0.002824	0.7532	0.54	0.5287	0.5134	0.06458	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Dorea"
"Dorea formicigenerans"	"S"	39486	36740	72	79	22009	36740	36159	35335	1774	0.4179	0.05012	0.002125	0.2466	0.4179	0.4112	0.4028	0.04039	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Dorea"
"Lachnospira eligens"	"S"	39485	83757	64	61	83757	31393	31044	29724	1447	0.9384	0.04455	0.001641	0.9384	0.3571	0.353	0.3389	0.03295	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Lachnospira"
"Wujia chipingensis"	"S"	2763670	153630	60	64	153627	10895	10657	10410	365	1.721	0.04176	0.001721	1.721	0.1239	0.1212	0.1187	0.008311	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Wujia"
"Anaerobutyricum hallii"	"S"	39488	41063	49	63	41063	29965	29315	28879	2123	0.4601	0.03411	0.001694	0.4601	0.3408	0.3334	0.3292	0.04834	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Anaerobutyricum"
"Butyrivibrio crossotus"	"S"	45851	60200	44	58	60200	20092	19683	18815	274	0.6745	0.03063	0.00156	0.6745	0.2285	0.2238	0.2145	0.006239	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae>Butyrivibrio"
"Faecalibacterium prausnitzii"	"S"	853	235880	544	588	187347	227874	232754	235877	10089	2.689	0.3786	0.01581	2.099	2.592	2.647	2.689	0.2297	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae>Faecalibacterium"
"Faecalibacterium sp. HTF-F"	"S"	2929491	51378	107	126	18478	49221	50600	51378	1337	0.5857	0.07448	0.003389	0.207	0.5598	0.5754	0.5857	0.03044	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae>Faecalibacterium>unclassified&nbsp;Faecalibacterium"
"Faecalibacterium sp. I4-1-79"	"S"	2929494	41942	73	64	41942	24153	24831	24967	957	0.4699	0.05081	0.001721	0.4699	0.2747	0.2824	0.2846	0.02179	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae>Faecalibacterium>unclassified&nbsp;Faecalibacterium"
"Faecalibacterium sp. I3-3-33"	"S"	2929492	36790	63	57	36790	19001	19060	19377	637	0.4122	0.04385	0.001533	0.4122	0.2161	0.2168	0.2209	0.0145	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae>Faecalibacterium>unclassified&nbsp;Faecalibacterium"
"Faecalibacterium sp. I3-3-89"	"S"	2929493	21453	51	52	16114	20408	21130	21453	1016	0.2446	0.0355	0.001398	0.1805	0.2321	0.2403	0.2446	0.02313	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae>Faecalibacterium>unclassified&nbsp;Faecalibacterium"
"Faecalibacterium sp. CYL33"	"S"	3030639	27557	71	87	20681	26866	27082	27557	810	0.3141	0.04942	0.00234	0.2317	0.3056	0.308	0.3141	0.01844	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae>Faecalibacterium>unclassified&nbsp;Faecalibacterium"
"Faecalibacterium sp. I4-3-84"	"S"	2929495	25704	47	59	25704	24019	24521	24598	762	0.288	0.03271	0.001587	0.288	0.2732	0.2789	0.2804	0.01735	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae>Faecalibacterium>unclassified&nbsp;Faecalibacterium"
"Vescimonas coprocola"	"S"	2714355	57280	58	54	57280	23121	23810	23678	1190	0.6418	0.04037	0.001452	0.6418	0.263	0.2708	0.2699	0.0271	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae>Vescimonas"
"Vescimonas fastidiosa"	"S"	2714353	42102	47	51	42102	19214	19364	19517	1215	0.4717	0.03271	0.001372	0.4717	0.2185	0.2202	0.2225	0.02767	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae>Vescimonas"
"Flavonifractor plautii"	"S"	292800	23755	40	31	23755	15705	16261	16083	564	0.2661	0.02784	0.0008337	0.2661	0.1786	0.1849	0.1833	0.01284	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae>Flavonifractor"
"Ruminococcus bicirculans (ex Wegman et al. 2014)"	"S"	1160721	33773	38	38	33773	13322	13856	13229	307	0.3784	0.02645	0.001022	0.3784	0.1515	0.1576	0.1508	0.00699	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae>Ruminococcus"
"Limosilactobacillus fermentum"	"S"	1613	1205500	882	1205492	2166	1891	1882	1690	1717	32.42	0.6139	32.42	0.02427	0.02151	0.0214	0.01927	0.0391	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Limosilactobacillus"
"Enterococcus faecalis"	"S"	1351	256850	156	256852	2141	2217	2259	1980	467	6.908	0.1086	6.908	0.02399	0.02522	0.02569	0.02257	0.01063	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Enterococcaceae>Enterococcus"
"Staphylococcus aureus"	"S"	1280	244760	134	244756	3485	1551	2296	2218	601	6.582	0.09327	6.582	0.03905	0.01764	0.02611	0.02529	0.01368	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Bacillales>Staphylococcaceae>Staphylococcus"
"Bacillus spizizenii"	"S"	96241	208460	126	208463	580	633	529	446	140	5.606	0.0877	5.606	0.006498	0.0072	0.006016	0.005084	0.003188	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"Listeria monocytogenes"	"S"	1639	220030	119	220026	1342	1667	1181	1048	197	5.917	0.08283	5.917	0.01504	0.01896	0.01343	0.01195	0.004486	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Bacillales>Listeriaceae>Listeria"
"Catenibacterium sp. co_0103"	"S"	2478954	33854	49	49	1862	33854	32309	31351	3074	0.3851	0.03411	0.001318	0.02086	0.3851	0.3674	0.3574	0.06999	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Erysipelotrichia>Erysipelotrichales>Coprobacillaceae>Catenibacterium>unclassified&nbsp;Catenibacterium"
"Phascolarctobacterium succinatutens"	"S"	626940	18645	36	38	5295	18550	18645	18591	745	0.212	0.02506	0.001022	0.05932	0.211	0.212	0.2119	0.01696	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Acidaminococcales>Acidaminococcaceae>Phascolarctobacterium"
"Collinsella aerofaciens"	"S"	74426	44119	79	97	44119	32252	31980	33060	4537	0.4943	0.05499	0.002609	0.4943	0.3668	0.3637	0.3769	0.1033	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Coriobacteriia>Coriobacteriales>Coriobacteriaceae>Collinsella"
