"name"	"taxRank"	"taxID"	"Mean"	"barcode01.cladeReads"	"barcode02.cladeReads"	"barcode03.cladeReads"	"barcode04.cladeReads"	"barcode05.cladeReads"	"barcode06.cladeReads"	"barcode07.cladeReads"	"barcode08.cladeReads"	"barcode09.cladeReads"	"barcode10.cladeReads"	"barcode11.cladeReads"	"barcode12.cladeReads"	"barcode13.cladeReads"	"Mean.1"	"barcode01.taxonReads"	"barcode02.taxonReads"	"barcode03.taxonReads"	"barcode04.taxonReads"	"barcode05.taxonReads"	"barcode06.taxonReads"	"barcode07.taxonReads"	"barcode08.taxonReads"	"barcode09.taxonReads"	"barcode10.taxonReads"	"barcode11.taxonReads"	"barcode12.taxonReads"	"barcode13.taxonReads"	"Mean.2"	"barcode01.cladeReads.."	"barcode02.cladeReads.."	"barcode03.cladeReads.."	"barcode04.cladeReads.."	"barcode05.cladeReads.."	"barcode06.cladeReads.."	"barcode07.cladeReads.."	"barcode08.cladeReads.."	"barcode09.cladeReads.."	"barcode10.cladeReads.."	"barcode11.cladeReads.."	"barcode12.cladeReads.."	"barcode13.cladeReads.."	"Mean.3"	"barcode01.taxonReads.."	"barcode02.taxonReads.."	"barcode03.taxonReads.."	"barcode04.taxonReads.."	"barcode05.taxonReads.."	"barcode06.taxonReads.."	"barcode07.taxonReads.."	"barcode08.taxonReads.."	"barcode09.taxonReads.."	"barcode10.taxonReads.."	"barcode11.taxonReads.."	"barcode12.taxonReads.."	"barcode13.taxonReads.."	"lineage"
"Selenomonas sputigena"	"S"	69823	28586	53433	27086	17264	24209	22636	47877	41608	45088	23053	28882	29500	10965	13	28586	53433	27086	17264	24209	22636	47877	41608	45088	23053	28882	29500	10965	13	1.7689	3.479	1.75	1.685	1.779	1.565	2.169	2.185	2.173	1.719	1.822	1.834	0.8348	0.0007696	1.7689	3.479	1.75	1.685	1.779	1.565	2.169	2.185	2.173	1.719	1.822	1.834	0.8348	0.0007696	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Selenomonadaceae>Selenomonas"
"Selenomonas sp. oral taxon 126"	"S"	712528	6546.8	12819	6128	4050	5638	5050	10836	9305	10224	5250	6679	6576	2554	NA	6546.8	12819	6128	4050	5638	5050	10836	9305	10224	5250	6679	6576	2554	NA	0.40599	0.8346	0.396	0.3953	0.4144	0.3492	0.4909	0.4886	0.4928	0.3916	0.4213	0.4088	0.1944	NA	0.40599	0.8346	0.396	0.3953	0.4144	0.3492	0.4909	0.4886	0.4928	0.3916	0.4213	0.4088	0.1944	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Selenomonadaceae>Selenomonas>unclassified&nbsp;Selenomonas"
"Selenomonas sp. TAMA-11512"	"S"	3095337	4646.5	8585	4114	2680	3847	3899	7955	6986	7547	3532	4525	4450	2285	NA	4646.5	8585	4114	2680	3847	3899	7955	6986	7547	3532	4525	4450	2285	NA	0.28685	0.5589	0.2658	0.2616	0.2827	0.2696	0.3604	0.3668	0.3638	0.2634	0.2854	0.2766	0.174	NA	0.28685	0.5589	0.2658	0.2616	0.2827	0.2696	0.3604	0.3668	0.3638	0.2634	0.2854	0.2766	0.174	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Selenomonadaceae>Selenomonas>unclassified&nbsp;Selenomonas"
"Selenomonas sp. oral taxon 920"	"S"	1884263	3055.1	5801	2731	1805	2546	2457	5235	4583	4890	2433	2820	2923	1492	NA	3055.1	5801	2731	1805	2546	2457	5235	4583	4890	2433	2820	2923	1492	NA	0.1889	0.3777	0.1765	0.1762	0.1871	0.1699	0.2372	0.2407	0.2357	0.1815	0.1779	0.1817	0.1136	NA	0.1889	0.3777	0.1765	0.1762	0.1871	0.1699	0.2372	0.2407	0.2357	0.1815	0.1779	0.1817	0.1136	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Selenomonadaceae>Selenomonas>unclassified&nbsp;Selenomonas"
"Selenomonas sp. oral taxon 478"	"S"	712538	1364	2668	1193	813	1160	1159	2329	2002	2218	1016	1235	1259	680	NA	1364	2668	1193	813	1160	1159	2329	2002	2218	1016	1235	1259	680	NA	0.084368	0.1737	0.07709	0.07936	0.08526	0.08015	0.1055	0.1051	0.1069	0.07578	0.0779	0.07827	0.05177	NA	0.084368	0.1737	0.07709	0.07936	0.08526	0.08015	0.1055	0.1051	0.1069	0.07578	0.0779	0.07827	0.05177	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Selenomonadaceae>Selenomonas>unclassified&nbsp;Selenomonas"
"Selenomonas sp. oral taxon 136"	"S"	713030	956.54	1887	838	580	821	771	1646	1383	1553	724	827	854	551	NA	956.54	1887	838	580	821	771	1646	1383	1553	724	827	854	551	NA	0.059275	0.1229	0.05415	0.05661	0.06034	0.05332	0.07457	0.07262	0.07486	0.054	0.05216	0.05309	0.04195	NA	0.059275	0.1229	0.05415	0.05661	0.06034	0.05332	0.07457	0.07262	0.07486	0.054	0.05216	0.05309	0.04195	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Selenomonadaceae>Selenomonas>unclassified&nbsp;Selenomonas"
"Selenomonas ruminantium"	"S"	971	14325	22917	12626	8291	11496	13952	24852	21773	23709	10683	12992	13435	9483	16	14325	22917	12626	8291	11496	13952	24852	21773	23709	10683	12992	13435	9483	16	0.88563	1.492	0.8158	0.8093	0.8449	0.9648	1.126	1.143	1.143	0.7968	0.8195	0.8352	0.7219	0.0009472	0.88563	1.492	0.8158	0.8093	0.8449	0.9648	1.126	1.143	1.143	0.7968	0.8195	0.8352	0.7219	0.0009472	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Selenomonadaceae>Selenomonas"
"Selenomonas timonae"	"S"	2754044	4109.8	7529	3442	2206	3144	3339	7167	6331	7036	2945	3688	3738	2863	NA	4109.8	7529	3442	2206	3144	3339	7167	6331	7036	2945	3688	3738	2863	NA	0.25299	0.4902	0.2224	0.2153	0.2311	0.2309	0.3247	0.3324	0.3392	0.2197	0.2326	0.2324	0.218	NA	0.25299	0.4902	0.2224	0.2153	0.2311	0.2309	0.3247	0.3324	0.3392	0.2197	0.2326	0.2324	0.218	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Selenomonadaceae>Selenomonas"
"Selenomonas dianae"	"S"	135079	2858.8	5365	2436	1552	2225	2276	4913	4337	4705	2175	2590	2593	1997	NA	2858.8	5365	2436	1552	2225	2276	4913	4337	4705	2175	2590	2593	1997	NA	0.17654	0.3493	0.1574	0.1515	0.1635	0.1574	0.2226	0.2277	0.2268	0.1622	0.1634	0.1612	0.152	NA	0.17654	0.3493	0.1574	0.1515	0.1635	0.1574	0.2226	0.2277	0.2268	0.1622	0.1634	0.1612	0.152	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Selenomonadaceae>Selenomonas"
"Megamonas funiformis"	"S"	437897	1770.5	4451	2270	1619	1931	4099	1669	1384	1597	575	714	662	2046	NA	1770.5	4451	2270	1619	1931	4099	1669	1384	1597	575	714	662	2046	NA	0.1177	0.2898	0.1467	0.158	0.1419	0.2835	0.07561	0.07267	0.07698	0.04289	0.04504	0.04115	0.1558	NA	0.1177	0.2898	0.1467	0.158	0.1419	0.2835	0.07561	0.07267	0.07698	0.04289	0.04504	0.04115	0.1558	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Negativicutes>Selenomonadales>Selenomonadaceae>Megamonas"
