Muestra	Contig	Start	End	Feature	Conteo	Numero_bases_cubiertas	Longitud_del_gen	Fraccion_cubierta
barcode01_DS_3.8GB	contig_106	338677	341806	adeF_fluoroquinolone_antibiotic;_tetracycline_antibiotic	103	3129	3129	1.0000000
barcode01_DS_3.8GB	contig_1177	100146	100908	OXA-464_penam	43	762	762	1.0000000
barcode01_DS_3.8GB	contig_1310	10020	13149	adeF_fluoroquinolone_antibiotic;_tetracycline_antibiotic	20	3129	3129	1.0000000
barcode01_DS_3.8GB	contig_1380	37440	37971	emrR_fluoroquinolone_antibiotic	102	531	531	1.0000000
barcode01_DS_3.8GB	contig_1380	39287	40835	Klebsiella pneumoniae KpnH_macrolide_antibiotic;_fluoroquinolone_antibiotic;_aminoglycoside_antibiotic;_carbapenem;_cephalosporin;_penam;_peptide_antibiotic;_penem	96	1548	1548	1.0000000
barcode01_DS_3.8GB	contig_1380	48070	48256	rsmA_fluoroquinolone_antibiotic;_diaminopyrimidine_antibiotic;_phenicol_antibiotic	133	186	186	1.0000000
barcode01_DS_3.8GB	contig_1403	57130	57787	QnrVC1_fluoroquinolone_antibiotic	30	657	657	1.0000000
barcode01_DS_3.8GB	contig_1445	4575	5232	QnrVC1_fluoroquinolone_antibiotic	126	657	657	1.0000000
barcode01_DS_3.8GB	contig_1445	5561	6425	GES-1_carbapenem;_cephalosporin;_penam	114	864	864	1.0000000
barcode01_DS_3.8GB	contig_1445	6498	6957	AAC(6')-Il_aminoglycoside_antibiotic	127	459	459	1.0000000
barcode01_DS_3.8GB	contig_1490	13643	14594	leuO_nucleoside_antibiotic;_disinfecting_agents_and_antiseptics	9	951	951	1.0000000
barcode01_DS_3.8GB	contig_1539	518361	520812	vanT gene in vanG cluster_glycopeptide_antibiotic	24	2451	2451	1.0000000
barcode01_DS_3.8GB	contig_1548	91227	94356	adeF_fluoroquinolone_antibiotic;_tetracycline_antibiotic	77	3129	3129	1.0000000
barcode01_DS_3.8GB	contig_1573	47645	48779	EC-14_cephalosporin	15	1134	1134	1.0000000
barcode01_DS_3.8GB	contig_1573	91230	92874	eptA_peptide_antibiotic	7	1644	1644	1.0000000
barcode01_DS_3.8GB	contig_1607	138730	141853	mdtB_aminocoumarin_antibiotic	70	3123	3123	1.0000000
barcode01_DS_3.8GB	contig_1607	141853	144931	mdtC_aminocoumarin_antibiotic	74	3078	3078	1.0000000
barcode01_DS_3.8GB	contig_1607	146343	147747	baeS_aminoglycoside_antibiotic;_aminocoumarin_antibiotic	117	1404	1404	1.0000000
barcode01_DS_3.8GB	contig_1607	147743	148466	baeR_aminoglycoside_antibiotic;_aminocoumarin_antibiotic	111	723	723	1.0000000
barcode01_DS_3.8GB	contig_1607	307308	309945	Escherichia coli gyrA conferring resistance to fluoroquinolones_fluoroquinolone_antibiotic	88	2637	2637	1.0000000
barcode01_DS_3.8GB	contig_1614	7879	9073	PDC-16_monobactam;_carbapenem;_cephalosporin	7	1194	1194	1.0000000
barcode01_DS_3.8GB	contig_1677	77469	78249	APH(3')-VIa_aminoglycoside_antibiotic	16	780	780	1.0000000
barcode01_DS_3.8GB	contig_1848	2325	2958	CRP_macrolide_antibiotic;_fluoroquinolone_antibiotic;_penam	5	633	633	1.0000000
barcode01_DS_3.8GB	contig_1851	40837	41641	APH(3'')-Ib_aminoglycoside_antibiotic	26	804	804	1.0000000
barcode01_DS_3.8GB	contig_1861	78775	80068	vanW gene in vanG cluster_glycopeptide_antibiotic	11	1293	1293	1.0000000
barcode01_DS_3.8GB	contig_1867	699521	700850	vanW gene in vanI cluster_glycopeptide_antibiotic	12	1329	1329	1.0000000
barcode01_DS_3.8GB	contig_1873	4949	6869	tet(W)_tetracycline_antibiotic	34	1920	1920	1.0000000
barcode01_DS_3.8GB	contig_189	60220	63349	adeF_fluoroquinolone_antibiotic;_tetracycline_antibiotic	92	3129	3129	1.0000000
barcode01_DS_3.8GB	contig_1895	64880	66647	Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics_cephalosporin;_cephamycin;_penam	122	1767	1767	1.0000000
barcode01_DS_3.8GB	contig_1895	72809	73754	leuO_nucleoside_antibiotic;_disinfecting_agents_and_antiseptics	113	945	945	1.0000000
barcode01_DS_3.8GB	contig_1913	37722	38448	vanY gene in vanB cluster_glycopeptide_antibiotic	11	726	726	1.0000000
barcode01_DS_3.8GB	contig_1914	1	448	vanY gene in vanB cluster_glycopeptide_antibiotic	3	447	447	1.0000000
barcode01_DS_3.8GB	contig_196	69918	70800	KPC-2_monobactam;_carbapenem;_cephalosporin;_penam	389	882	882	1.0000000
barcode01_DS_3.8GB	contig_208	234973	235957	PmrF_peptide_antibiotic	126	984	984	1.0000000
barcode01_DS_3.8GB	contig_208	238831	240490	ArnT_peptide_antibiotic	128	1659	1659	1.0000000
barcode01_DS_3.8GB	contig_208	360873	361506	CRP_macrolide_antibiotic;_fluoroquinolone_antibiotic;_penam	146	633	633	1.0000000
barcode01_DS_3.8GB	contig_208	376493	377678	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin_elfamycin_antibiotic	201	1185	1185	1.0000000
barcode01_DS_3.8GB	contig_214	289	1549	cmlA5_phenicol_antibiotic	37	1260	1260	1.0000000
barcode01_DS_3.8GB	contig_214	1813	2614	OXA-10_cephalosporin;_penam	47	801	801	1.0000000
barcode01_DS_3.8GB	contig_214	2606	3422	aadA_aminoglycoside_antibiotic	62	816	816	1.0000000
barcode01_DS_3.8GB	contig_214	3585	3933	qacEdelta1_disinfecting_agents_and_antiseptics	115	348	348	1.0000000
barcode01_DS_3.8GB	contig_214	3926	4766	sul1_sulfonamide_antibiotic	134	840	840	1.0000000
barcode01_DS_3.8GB	contig_2158	89454	91140	ArnT_peptide_antibiotic	8	1686	1686	1.0000000
barcode01_DS_3.8GB	contig_2160	7090	7423	qacJ_disinfecting_agents_and_antiseptics	15	333	333	1.0000000
barcode01_DS_3.8GB	contig_2160	7550	8426	OXA-4_cephalosporin;_penam	26	876	876	1.0000000
barcode01_DS_3.8GB	contig_2165	34102	34825	vanY gene in vanB cluster_glycopeptide_antibiotic	11	723	723	1.0000000
barcode01_DS_3.8GB	contig_2324	20811	21066	rsmA_fluoroquinolone_antibiotic;_diaminopyrimidine_antibiotic;_phenicol_antibiotic	27	255	255	1.0000000
barcode01_DS_3.8GB	contig_2341	71798	72593	OXA-504_penam	21	795	795	1.0000000
barcode01_DS_3.8GB	contig_2344	81398	82583	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin_elfamycin_antibiotic	20	1185	1185	1.0000000
barcode01_DS_3.8GB	contig_2344	100603	101788	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin_elfamycin_antibiotic	17	1185	1185	1.0000000
barcode01_DS_3.8GB	contig_2435	13463	14222	RSD2-2_carbapenem;_cephalosporin	479	759	759	1.0000000
barcode01_DS_3.8GB	contig_2534	3930	4713	LnuH_lincosamide_antibiotic	18	783	783	1.0000000
barcode01_DS_3.8GB	contig_258	4026	5211	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin_elfamycin_antibiotic	16	1185	1185	1.0000000
barcode01_DS_3.8GB	contig_258	105068	105392	Escherichia coli soxS with mutation conferring antibiotic resistance_fluoroquinolone_antibiotic;_monobactam;_carbapenem;_cephalosporin;_glycylcycline;_cephamycin;_penam;_tetracycline_antibiotic;_rifamycin_antibiotic;_phenicol_antibiotic;_penem;_disinfecting_agents_and_antiseptics	10	324	324	1.0000000
barcode01_DS_3.8GB	contig_258	105477	106194	Escherichia coli soxR with mutation conferring antibiotic resistance_fluoroquinolone_antibiotic;_cephalosporin;_glycylcycline;_penam;_tetracycline_antibiotic;_rifamycin_antibiotic;_phenicol_antibiotic;_disinfecting_agents_and_antiseptics	10	717	717	1.0000000
barcode01_DS_3.8GB	contig_260	25532	26690	AcrE_fluoroquinolone_antibiotic;_cephalosporin;_cephamycin;_penam	10	1158	1158	1.0000000
barcode01_DS_3.8GB	contig_260	27088	27751	AcrS_fluoroquinolone_antibiotic;_cephalosporin;_glycylcycline;_cephamycin;_penam;_tetracycline_antibiotic;_rifamycin_antibiotic;_phenicol_antibiotic;_disinfecting_agents_and_antiseptics	11	663	663	1.0000000
barcode01_DS_3.8GB	contig_266	9684	10032	qacEdelta1_disinfecting_agents_and_antiseptics	137	348	348	1.0000000
barcode01_DS_3.8GB	contig_266	10025	10865	sul1_sulfonamide_antibiotic	171	840	840	1.0000000
barcode01_DS_3.8GB	contig_2700	820	2170	vanT gene in vanG cluster_glycopeptide_antibiotic	3	1350	1350	1.0000000
