Sample_file	count_reads_each_specie	Contig_name
barcode74.fastq.gz_11_2024	342505	DMYZ01000273.1 MAG TPA_asm: Prevotella sp. isolate UBA11202 contig_10138, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	268257	CAKPXP010000001.1 MAG: uncultured Selenomonas sp. isolate REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_F_13_RAU1011YZ.13 genome assembly, contig: Nepal_MoBio_Fiber-Hadza-Nepal_F_13_RAU1011YZ__NODE_8_length_440940_cov_7.059288, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	266801	LM994621.1 bacterium OL-1 genome assembly Jeddahella massiliensis, scaffold scaffold00004, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	273248	NZ_KB908379.1 Selenomonas bovis DSM 23594 F599DRAFT_scaffold00001.1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	157551	JAGPJJ010000053.1 MAG: Prevotella sp. isolate Gw_UH_bin_4 Gw_UH_10313_length_10767_cov_18.290132, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	182596	NZ_APHY01000001.1 Megasphaera sp. NM10 Contig01, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	115985	NZ_CP060694.1 Aliarcobacter cryaerophilus strain 16CS1292-4 chromosome, complete genome
barcode74.fastq.gz_11_2024	137167	NZ_KB849228.1 Acinetobacter johnsonii CIP 64.6 acLZl-supercont1.1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	50978	NZ_GG697146.2 Mitsuokella multacida DSM 20544 Scfld8, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	57538	NC_012781.1 Agathobacter rectalis ATCC 33656, complete sequence
barcode74.fastq.gz_11_2024	36646	NZ_KB849660.1 Acinetobacter towneri DSM 14962 = CIP 107472 acMad-supercont1.1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	58080	NC_009614.1 Phocaeicola vulgatus ATCC 8482, complete sequence
barcode74.fastq.gz_11_2024	21655	NZ_JGZT01000001.1 Bifidobacterium thermacidophilum subsp. thermacidophilum strain LMG 21395 Contig1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	24086	NZ_DHOX01000049.1 MAG: Prevotella sp. UBA5379 UBA5379_contig_10115, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	41320	NZ_LR134289.1 Chryseobacterium gleum strain NCTC11432 chromosome 1, complete sequence
barcode74.fastq.gz_11_2024	29483	NZ_CDBK01000001.1 Aeromonas caviae strain CECT 838, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	13723	NZ_CAKSNZ010000001.1 MAG: uncultured Ruminococcus sp. isolate REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_E_6_1848.147, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	17065	JAKVJW010000001.1 MAG: Prevotella sp. isolate UW_MP_PREV4_1 Ga0455794_000017, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	19954	NZ_VZCN01000152.1 Segatella copri strain iAK278 NODE_100_length_10823_cov_4.92608_ID_291, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	19537	NZ_KB849653.1 Acinetobacter junii CIP 64.5 acLZZ-supercont1.1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	11910	HF987897.1 Succinatimonas sp. CAG:777 genomic scaffold, scf1, whole genome shotgun sequence
barcode74.fastq.gz_11_2024	15229	NZ_OU015319.1 Cloacibacterium caeni isolate Isolate1 chromosome 000000F_arrow
barcode74.fastq.gz_11_2024	11850	NZ_AP019697.1 Dialister hominis strain 5BBH33 chromosome, complete genome
