Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	True_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/819/785/GCF_000819785.1_genomic.fna.gz	31.8136	21.9347	99.33	405.254	NA-NA	HIGH	NA-NA	328	267.212	15558/19149	99.33	10	NZ_CDBK01000001.1 Aeromonas caviae strain CECT 838, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/014/202/415/GCF_014202415.1_genomic.fna.gz	30.7467	15.5757	99.58	391.663	NA-NA	HIGH	NA-NA	317	285.232	12389/14098	99.58	126	NZ_JACHGR010000001.1 Tolumonas osonensis strain DSM 22975 Ga0310461_01, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/014/169/315/GCF_014169315.1_genomic.fna.gz	12.7060	9.7928	99.55	161.854	NA-NA	HIGH	NA-NA	131	125.553	18132/20859	99.55	6	NZ_AP022133.1 Enterobacter cloacae strain WP5-S18-ESBL-01 chromosome, complete genome
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/900/187/115/GCF_900187115.1_genomic.fna.gz	4.9466	1.7906	98.94	63.012	NA-NA	HIGH	NA-NA	51	48.388	7113/9896	98.94	322	NZ_LT906455.1 Aliarcobacter butzleri strain NCTC 12481 chromosome 1, complete sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/368/045/GCF_000368045.1_genomic.fna.gz	2.8128	1.5650	98.82	35.830	NA-NA	HIGH	NA-NA	29	19.912	10394/15007	98.82	1541	NZ_KB849228.1 Acinetobacter johnsonii CIP 64.6 acLZl-supercont1.1, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCA/008/015/085/GCA_008015085.1_genomic.fna.gz	2.1338	0.6030	99.73	27.182	NA-NA	HIGH	NA-NA	22	18.707	7137/7767	99.73	0	SSEX01000098.1 MAG: Tolumonas sp. isolate Bin_11_1 c_000000000450, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/014/352/935/GCF_014352935.1_genomic.fna.gz	1.2291	0.3829	99.49	15.657	NA-NA	HIGH	NA-NA	13	12.672	7284/8535	99.49	0	NZ_CP060694.1 Aliarcobacter cryaerophilus strain 16CS1292-4 chromosome, complete genome
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/544/915/GCF_003544915.1_genomic.fna.gz	0.8449	0.3648	99.43	10.763	NA-NA	HIGH	NA-NA	8	8.711	9777/11675	99.43	62	NZ_CP032097.1 Arcobacter ellisii strain LMG 26155 chromosome, complete genome
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCA/937/866/945/GCA_937866945.1_genomic.fna.gz	0.6563	0.2791	99.47	8.360	NA-NA	HIGH	NA-NA	5	6.766	10162/11977	99.47	199	CALMKU010000001.1 MAG TPA_asm: uncultured Tolumonas sp. isolate SRR5676473_bin.100_CONCOCT_v1.1_MAG genome assembly, contig: ERZ724534.106811, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/008/993/995/GCF_008993995.1_genomic.fna.gz	0.5287	0.2505	98.76	6.734	NA-NA	HIGH	NA-NA	5	5.451	8809/12967	98.76	100	NZ_BKNN01000001.1 Acinetobacter brisouii strain TUM15274 sequence001, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/002/135/205/GCF_002135205.1_genomic.fna.gz	0.4985	0.2994	99.53	6.350	NA-NA	HIGH	NA-NA	6	5.139	14579/16854	99.53	4	NZ_NEFZ01000001.1 Acinetobacter sp. ANC 4204 Contig1, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCA/017/996/075/GCA_017996075.1_genomic.fna.gz	0.4562	0.0831	96.86	5.812	NA-NA	HIGH	NA-NA	4	4.704	1847/4973	96.86	1464	JAGOHQ010000025.1 MAG: Aliarcobacter sp. isolate Gw_Bodden_bin_71 Gw_Bodden_10208_length_9663_cov_20.937605, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/020/605/GCF_000020605.1_genomic.fna.gz	0.3828	0.2036	98.99	4.876	NA-NA	HIGH	NA-NA	3	3.946	10251/14021	98.99	306	NC_012781.1 Agathobacter rectalis ATCC 33656, complete sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/428/125/GCF_000428125.1_genomic.fna.gz	0.3500	0.1961	98.73	4.458	NA-NA	HIGH	NA-NA	3	3.608	10413/15479	98.73	64	NZ_ATZI01000001.1 Bacteroides graminisolvens DSM 19988 = JCM 15093 strain DSM 19988 C511DRAFT_scaffold00001.1_C, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/400/735/GCF_000400735.1_genomic.fna.gz	0.2928	0.1842	98.26	3.730	NA-NA	HIGH	NA-NA	3	3.019	9840/16982	98.26	732	NZ_KE007352.1 Acinetobacter tandoii DSM 14970 = CIP 107469 acPFI-supercont1.1, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/063/295/GCF_003063295.1_genomic.fna.gz	0.2897	0.0989	96.25	3.690	NA-NA	HIGH	NA-NA	4	2.986	2925/9563	96.25	2859	NZ_MUXF01000010.1 Arcobacter lacus strain RW43-9 NODE_10_length_295377_cov_33.568676, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCA/018/054/505/GCA_018054505.1_genomic.fna.gz	0.1728	0.0518	99.53	2.201	99.45-99.60	1.782	1.69-1.87	2	2.649	6046/8352	98.96	0	JAGPJJ010000053.1 MAG: Prevotella sp. isolate Gw_UH_bin_4 Gw_UH_10313_length_10767_cov_18.290132, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/009/939/195/GCF_009939195.1_genomic.fna.gz	0.1560	0.0844	97.52	1.987	97.40-97.61	1.608	1.51-1.71	2	2.718	5592/15049	96.86	1148	NZ_JAACKC010000010.1 Acinetobacter kanungonis strain PS-1 scaffold10_size167339, whole genome shotgun sequence
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/025/148/125/GCF_025148125.1_genomic.fna.gz	0.1403	0.1014	99.29	1.787	99.23-99.35	1.446	1.39-1.50	2	2.591	11895/19168	98.47	0	NZ_CP102267.1 Blautia wexlerae DSM 19850 chromosome, complete genome
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	0.1346	0.1045	98.37	1.714	98.30-98.43	1.388	1.33-1.44	2	2.262	9681/21223	97.50	728	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/001/548/035/GCF_001548035.1_genomic.fna.gz	0.1187	0.0477	98.73	1.512	98.62-98.83	1.224	1.16-1.30	2	1.897	5399/11251	97.66	23	NZ_AP014723.1 Sulfurospirillum sp. UCH001 chromosome, complete genome
../data/temp/barcode86.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/010/425/GCF_000010425.1_genomic.fna.gz	0.1166	0.0376	98.97	1.486	98.88-99.06	1.203	1.14-1.26	1	1.746	4578/8919	97.87	76	NC_008618.1 Bifidobacterium adolescentis ATCC 15703, complete sequence
