Muestra	Contig	Start	End	Feature	Conteo	Numero_bases_cubiertas	Longitud_del_gen	Fraccion_cubierta
barcode19_1405Gb	contig_15	134794	136150	mepA_glycylcycline;_tetracycline_antibiotic	450	1356	1356	1.0000000
barcode19_1405Gb	contig_15	136256	136676	mepR_glycylcycline;_tetracycline_antibiotic	465	420	420	1.0000000
barcode19_1405Gb	contig_15	364646	366005	tet(38)_tetracycline_antibiotic	466	1359	1359	1.0000000
barcode19_1405Gb	contig_15	402754	404143	norC_fluoroquinolone_antibiotic;_disinfecting_agents_and_antiseptics	492	1389	1389	1.0000000
barcode19_1405Gb	contig_15	787595	788996	norC_fluoroquinolone_antibiotic;_disinfecting_agents_and_antiseptics	482	1401	1401	1.0000000
barcode19_1405Gb	contig_15	908889	909309	Staphylococcus aureus FosB_phosphonic_acid_antibiotic	511	420	420	1.0000000
barcode19_1405Gb	contig_15	1055241	1056585	sdrM_fluoroquinolone_antibiotic;_disinfecting_agents_and_antiseptics	472	1344	1344	1.0000000
barcode19_1405Gb	contig_15	1056683	1057157	sepA_disinfecting_agents_and_antiseptics	499	474	474	1.0000000
barcode19_1405Gb	contig_15	1057476	1058922	Staphylococcus aureus LmrS_macrolide_antibiotic;_aminoglycoside_antibiotic;_oxazolidinone_antibiotic;_diaminopyrimidine_antibiotic;_phenicol_antibiotic	531	1446	1446	1.0000000
barcode19_1405Gb	contig_15	1154800	1157530	kdpD_aminoglycoside_antibiotic	437	2730	2730	1.0000000
barcode19_1405Gb	contig_15	1165202	1166351	vanT gene in vanG cluster_glycopeptide_antibiotic	501	1149	1149	1.0000000
barcode19_1405Gb	contig_15	1722276	1723122	PC1 beta-lactamase (blaZ)_penam	372	846	846	1.0000000
barcode19_1405Gb	contig_15	1751506	1753027	norC_fluoroquinolone_antibiotic;_disinfecting_agents_and_antiseptics	404	1521	1521	1.0000000
barcode19_1405Gb	contig_15	1799095	1799755	arlR_fluoroquinolone_antibiotic;_disinfecting_agents_and_antiseptics	388	660	660	1.0000000
barcode19_1405Gb	contig_15	1799751	1801107	arlS_fluoroquinolone_antibiotic;_disinfecting_agents_and_antiseptics	404	1356	1356	1.0000000
barcode19_1405Gb	contig_15	2476039	2477206	Staphylococcus aureus norA_fluoroquinolone_antibiotic	442	1167	1167	1.0000000
barcode19_1405Gb	contig_15	2484856	2485300	mgrA_fluoroquinolone_antibiotic;_cephalosporin;_penam;_tetracycline_antibiotic;_peptide_antibiotic;_disinfecting_agents_and_antiseptics	457	444	444	1.0000000
barcode19_1405Gb	contig_174	88642	90391	msbA_nitroimidazole_antibiotic	279	1749	1749	1.0000000
barcode19_1405Gb	contig_174	323056	324283	mdtG_phosphonic_acid_antibiotic	292	1227	1227	1.0000000
barcode19_1405Gb	contig_174	332911	334120	mdtH_fluoroquinolone_antibiotic	299	1209	1209	1.0000000
