Muestra	Chromosome	Start	End	Feature	Conteo	Numero_bases_cubiertas	Longitud_del_gen	Fraccion_cubierta	Pathogen
barcode01_DS_4.7GB	contig_10256	3252	4431	vanT gene in vanG cluster_glycopeptide_antibiotic	7	1179	1179	1.0	
barcode01_DS_4.7GB	contig_10307	35126	36251	vanT gene in vanG cluster_glycopeptide_antibiotic	10	1125	1125	1.0	
barcode01_DS_4.7GB	contig_1074	8229	9195	CfxA3_cephamycin	33	966	966	1.0	Unknown taxonomy (chromosome or plasmid)
barcode01_DS_4.7GB	contig_1090	1597	2773	vanT gene in vanG cluster_glycopeptide_antibiotic	8	1176	1176	1.0	
barcode01_DS_4.7GB	contig_1113	437	2357	tet(O)_tetracycline_antibiotic	72	1920	1920	1.0	Unknown taxonomy (chromosome or plasmid)
barcode01_DS_4.7GB	contig_11362	7314	7503	rsmA_fluoroquinolone_antibiotic;_diaminopyrimidine_antibiotic;_phenicol_antibiotic	11	189	189	1.0	
barcode01_DS_4.7GB	contig_11482	3287	4961	eptB_peptide_antibiotic	8	1674	1674	1.0	Klebsiella pneumoniae (chromosome)
barcode01_DS_4.7GB	contig_11547	6535	6835	vanY gene in vanB cluster_glycopeptide_antibiotic	3	300	300	1.0	
barcode01_DS_4.7GB	contig_1165	6400	7264	aadS_aminoglycoside_antibiotic	36	864	864	1.0	Unknown taxonomy (chromosome or plasmid)
barcode01_DS_4.7GB	contig_1165	8506	9307	ErmF_macrolide_antibiotic;_lincosamide_antibiotic;_streptogramin_antibiotic;_streptogramin_A_antibiotic;_streptogramin_B_antibiotic	38	801	801	1.0	Unknown taxonomy (chromosome or plasmid)
barcode01_DS_4.7GB	contig_11833	3831	5064	vanY gene in vanM cluster_glycopeptide_antibiotic	6	1233	1233	1.0	
barcode01_DS_4.7GB	contig_1191	97605	97860	rsmA_fluoroquinolone_antibiotic;_diaminopyrimidine_antibiotic;_phenicol_antibiotic	22	255	255	1.0	
barcode01_DS_4.7GB	contig_1212	31735	32071	qacG_disinfecting_agents_and_antiseptics	33	336	336	1.0	
