Muestra	Chromosome	Start	End	Feature	Conteo	Numero_bases_cubiertas	Longitud_del_gen	Fraccion_cubierta	Pathogen
barcode06_05Gb	contig_1	78738	79725	vanH gene in vanO cluster_glycopeptide_antibiotic	7	987	987	1.0	
barcode06_05Gb	contig_12	147176	147542	qacG_disinfecting_agents_and_antiseptics	24	366	366	1.0	Acinetobacter johnsonii (chromosome)
barcode06_05Gb	contig_12	571185	571440	rsmA_fluoroquinolone_antibiotic;_diaminopyrimidine_antibiotic;_phenicol_antibiotic	31	255	255	1.0	
barcode06_05Gb	contig_152	22195	24415	Acinetobacter baumannii parC conferring resistance to fluoroquinolones_fluoroquinolone_antibiotic	5	2220	2220	1.0	Acinetobacter baumannii (chromosome or plasmid)
barcode06_05Gb	contig_188	13744	14146	FosA8_phosphonic_acid_antibiotic	11	402	402	1.0	Aeromonas caviae (chromosome or plasmid)
barcode06_05Gb	contig_211	16544	17369	OXA-644_carbapenem;_penam	32	825	825	1.0	Acinetobacter johnsonii (chromosome)
barcode06_05Gb	contig_24	452160	453396	vanW gene in vanI cluster_glycopeptide_antibiotic	25	1236	1236	1.0	
barcode06_05Gb	contig_24	1155411	1155918	nimK_nitroimidazole_antibiotic	28	507	507	1.0	
barcode06_05Gb	contig_24	1409879	1413071	adeF_fluoroquinolone_antibiotic;_tetracycline_antibiotic	23	3192	3192	1.0	
barcode06_05Gb	contig_24	1658918	1660028	vanT gene in vanG cluster_glycopeptide_antibiotic	23	1110	1110	1.0	
barcode06_05Gb	contig_241	26866	29344	vanT gene in vanG cluster_glycopeptide_antibiotic	13	2478	2478	1.0	
barcode06_05Gb	contig_249	24630	25788	vanT gene in vanG cluster_glycopeptide_antibiotic	3	1158	1158	1.0	
barcode06_05Gb	contig_250	25521	26403	KPC-2_monobactam;_carbapenem;_cephalosporin;_penam	22	882	882	1.0	Unknown taxonomy (chromosome or plasmid)
barcode06_05Gb	contig_252	3148	4030	KPC-2_monobactam;_carbapenem;_cephalosporin;_penam	19	882	882	1.0	Unknown taxonomy (chromosome or plasmid)
barcode06_05Gb	contig_27	13239	13872	CRP_macrolide_antibiotic;_fluoroquinolone_antibiotic;_penam	9	633	633	1.0	Escherichia coli (chromosome or plasmid)
barcode06_05Gb	contig_273	0	849	OXA-644_carbapenem;_penam	9	849	849	1.0	Acinetobacter johnsonii (chromosome)
barcode06_05Gb	contig_296	164	1025	TEM-1_monobactam;_cephalosporin;_penam;_penem	9	861	861	1.0	Unknown taxonomy (chromosome or plasmid)
barcode06_05Gb	contig_3	89973	90858	mphE_macrolide_antibiotic	19	885	885	1.0	Unknown taxonomy (chromosome or plasmid)
barcode06_05Gb	contig_3	90913	92389	msrE_macrolide_antibiotic;_streptogramin_antibiotic	19	1476	1476	1.0	Unknown taxonomy (chromosome or plasmid)
barcode06_05Gb	contig_326	1531	3007	msrE_macrolide_antibiotic;_streptogramin_antibiotic	12	1476	1476	1.0	Unknown taxonomy (chromosome or plasmid)
barcode06_05Gb	contig_36	33565	34675	vanT gene in vanG cluster_glycopeptide_antibiotic	7	1110	1110	1.0	
barcode06_05Gb	contig_495	6556	7462	mphA_macrolide_antibiotic	13	906	906	1.0	Unknown taxonomy (chromosome or plasmid)
barcode06_05Gb	contig_495	7458	8697	Mrx_macrolide_antibiotic	12	1239	1239	1.0	Unknown taxonomy (chromosome or plasmid)
barcode06_05Gb	contig_58	60025	60907	vanW gene in vanG cluster_glycopeptide_antibiotic	28	882	882	1.0	Acinetobacter johnsonii (chromosome)
barcode06_05Gb	contig_63	2	692	gadX_macrolide_antibiotic;_fluoroquinolone_antibiotic;_penam	3	690	690	1.0	Unknown taxonomy (chromosome)
barcode06_05Gb	contig_706	3479	5453	tet(Q)_tetracycline_antibiotic	7	1974	1974	1.0	Unknown taxonomy (chromosome)
barcode06_05Gb	contig_709	2263	3079	sul2_sulfonamide_antibiotic	5	816	816	1.0	Unknown taxonomy (chromosome or plasmid)
barcode06_05Gb	contig_71	25184	26387	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin_elfamycin_antibiotic	23	1203	1203	1.0	Unknown taxonomy (chromosome or plasmid)
barcode06_05Gb	contig_719	3477	5226	msbA_nitroimidazole_antibiotic	5	1749	1749	1.0	Unknown taxonomy (chromosome)
barcode06_05Gb	contig_721	14753	14942	rsmA_fluoroquinolone_antibiotic;_diaminopyrimidine_antibiotic;_phenicol_antibiotic	7	189	189	1.0	
barcode06_05Gb	contig_800	30208	31393	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin_elfamycin_antibiotic	19	1185	1185	1.0	Aeromonas (chromosome or plasmid)
barcode10_1Gb	contig_1020	2742	3057	vanY gene in vanA cluster_glycopeptide_antibiotic	2	315	315	1.0	
barcode10_1Gb	contig_1030	40056	43248	adeF_fluoroquinolone_antibiotic;_tetracycline_antibiotic	14	3192	3192	1.0	
barcode10_1Gb	contig_1033	5696	7616	tet(W)_tetracycline_antibiotic	15	1920	1920	1.0	Trueperella pyogenes (chromosome or plasmid)
barcode10_1Gb	contig_1073	997	1825	OXA-253_carbapenem;_penam	14	828	828	1.0	Acinetobacter baumannii (chromosome)
barcode10_1Gb	contig_1083	1222	2050	OXA-2_carbapenem;_cephalosporin;_penam	8	828	828	1.0	Unknown taxonomy (chromosome or plasmid)
barcode10_1Gb	contig_1083	2131	2782	AAC(6')-Ib9_aminoglycoside_antibiotic	10	651	651	1.0	Unknown taxonomy (chromosome or plasmid)
barcode10_1Gb	contig_1083	2823	3687	GES-1_carbapenem;_cephalosporin;_penam	14	864	864	1.0	Unknown taxonomy (chromosome or plasmid)
barcode10_1Gb	contig_1094	7037	7373	qacG_disinfecting_agents_and_antiseptics	6	336	336	1.0	
barcode10_1Gb	contig_1115	27963	28398	Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline_fluoroquinolone_antibiotic;_cephalosporin;_glycylcycline;_penam;_tetracycline_antibiotic;_rifamycin_antibiotic;_phenicol_antibiotic;_disinfecting_agents_and_antiseptics	7	435	435	1.0	Enterobacter cloacae (chromosome)
barcode10_1Gb	contig_118	967	1852	mphE_macrolide_antibiotic	37	885	885	1.0	Unknown taxonomy (chromosome or plasmid)
barcode10_1Gb	contig_118	1907	3383	msrE_macrolide_antibiotic;_streptogramin_antibiotic	39	1476	1476	1.0	Unknown taxonomy (chromosome or plasmid)
barcode10_1Gb	contig_119	62238	63123	mphE_macrolide_antibiotic	38	885	885	1.0	Unknown taxonomy (chromosome or plasmid)
barcode10_1Gb	contig_119	63178	64654	msrE_macrolide_antibiotic;_streptogramin_antibiotic	39	1476	1476	1.0	Unknown taxonomy (chromosome or plasmid)
barcode10_1Gb	contig_120	2303	3188	mphE_macrolide_antibiotic	23	885	885	1.0	Unknown taxonomy (chromosome or plasmid)
barcode10_1Gb	contig_120	3243	4719	msrE_macrolide_antibiotic;_streptogramin_antibiotic	31	1476	1476	1.0	Unknown taxonomy (chromosome or plasmid)
barcode10_1Gb	contig_120	7514	8351	APH(6)-Id_aminoglycoside_antibiotic	27	837	837	1.0	Unknown taxonomy (chromosome or plasmid)
barcode10_1Gb	contig_120	8350	9154	APH(3'')-Ib_aminoglycoside_antibiotic	27	804	804	1.0	Unknown taxonomy (chromosome or plasmid)
barcode10_1Gb	contig_1205	2366	3194	OXA-253_carbapenem;_penam	23	828	828	1.0	Acinetobacter baumannii (chromosome)
