Contig_name	barcode01_MA_DS9_Crowfoot.fastq	barcode02_MA_DS9_Crowfoot.fastq	barcode03_MA_DS9_Crowfoot.fastq	barcode04_MA_DS9_Crowfoot.fastq	barcode05_MA_DS9_Crowfoot.fastq	barcode06_MA_DS9_Crowfoot.fastq	barcode07_MA_DS9_Crowfoot.fastq	barcode09_MA_DS9_Crowfoot.fastq	barcode10_MA_DS9_Crowfoot.fastq	barcode11_MA_DS9_Crowfoot.fastq	barcode12_MA_DS9_Crowfoot.fastq	barcode13_MA_DS9_Crowfoot.fastq	barcode18_1405Gb.fastq	barcode19_1405Gb.fastq	barcode20_1405Gb.fastq	barcode21_1405Gb.fastq	barcode22_1405Gb.fastq	barcode23_1405Gb.fastq	barcode24_1405Gb.fastq	barcode01_final_combined.fastq	barcode02_final_combined.fastq	barcode03_final_combined.fastq	barcode04_final_combined.fastq	barcode05_final_combined.fastq	barcode06_final_combined.fastq	barcode07_final_combined.fastq	barcode08_final_combined.fastq	barcode09_final_combined.fastq	barcode10_final_combined.fastq	barcode11_final_combined.fastq	barcode12_final_combined.fastq	barcode13_final_combined.fastq	barcode14_final_combined.fastq	17_set_barcode01.fastq	17_set_barcode02.fastq	17_set_barcode03.fastq	17_set_barcode04.fastq	17_set_barcode05.fastq	17_set_barcode06.fastq	17_set_barcode07.fastq	17_set_barcode08.fastq	17_set_barcode09.fastq
CAKPXP010000001.1 MAG: uncultured Selenomonas sp. isolate REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Nepal_MoBio_Fiber-Hadza-Nepal_F_13_RAU1011YZ.13 genome assembly, contig: Nepal_MoBio_Fiber-Hadza-Nepal_F_13_RAU1011YZ__NODE_8_length_440940_cov_7.059288, whole genome shotgun sequence	104887	107454	84201	116512	199369	184584	177075	132090	49528	91707	104697	164	0	0	1526	10846	9503	9239	0	262107	128577	84972	115018	111628	151247	132246	142647	101303	115075	116911	48577	127	0	2052	494	766	394	388	0	48855	0	0
NZ_KB908379.1 Selenomonas bovis DSM 23594 F599DRAFT_scaffold00001.1, whole genome shotgun sequence	120816	121776	100546	132965	212485	195596	197466	150477	58479	109513	120537	0	0	0	2757	0	0	0	0	294505	136925	98761	130277	123324	166872	148884	159912	104121	115490	120866	67467	0	0	0	0	0	0	453	407	56321	0	0
NZ_KB849228.1 Acinetobacter johnsonii CIP 64.6 acLZl-supercont1.1, whole genome shotgun sequence	133587	140816	115810	148526	137943	122574	118286	161792	63335	113342	125001	409	1815	790	132701	730448	601917	605753	415484	15184	2095	1926	2283	3210	12894	12027	12866	2062	2301	2116	3361	0	0	10615	2619	3443	113256	61173	97412	26343	186	1052
JAGPJJ010000053.1 MAG: Prevotella sp. isolate Gw_UH_bin_4 Gw_UH_10313_length_10767_cov_18.290132, whole genome shotgun sequence	42290	43734	36051	46615	69924	60411	58808	59154	21505	40920	46863	82	98	48	4733	100496	81046	82093	431	92357	20197	15590	18191	11869	30154	27155	28143	95983	111303	109975	35466	62	0	858	6996	4103	2258	3105	298	28815	0	0
NZ_CDBK01000001.1 Aeromonas caviae strain CECT 838, whole genome shotgun sequence	77081	78968	61879	86064	71821	67348	63423	70244	25592	49389	56188	168	417	167	78214	25257	22238	22547	196135	11742	3015	2248	2582	5156	1457	1413	1607	2606	2651	2730	3810	0	0	19038	1574	953	6100	7314	1187	1500	0	0
NZ_GG697146.2 Mitsuokella multacida DSM 20544 Scfld8, whole genome shotgun sequence	37870	38171	31111	41208	62090	58635	56048	44702	15733	31133	35009	56	0	0	2106	17514	15445	15910	0	80648	37495	25143	34054	56372	132851	118693	129280	72315	80627	83136	70543	40	0	234	159	181	808	663	384	33573	0	0
NZ_CP046654.1 Acinetobacter baumannii strain ATCC 19606 chromosome, complete genome	48490	50012	42298	53174	43584	38363	37733	19590	7749	13373	15188	45	0	0	0	1486	1437	1483	2278	1569	697	598	673	1230	450	498	572	0	0	0	0	0	0	2620	747	884	0	0	0	891	0	0
LM994621.1 bacterium OL-1 genome assembly Jeddahella massiliensis, scaffold scaffold00004, whole genome shotgun sequence	27769	28689	21699	30553	45771	43298	41037	34571	12540	23742	27532	0	0	0	0	11689	10412	12002	0	58370	35742	23968	32461	53736	325822	294938	312533	179231	201913	210465	126082	155	88	275	129	200	321	407	170	82332	0	0
NZ_CP060694.1 Aliarcobacter cryaerophilus strain 16CS1292-4 chromosome, complete genome	17699	18415	14872	19144	21419	18129	18467	26449	9826	18131	20585	63	0	107	328634	71131	53212	54706	22505	24589	9158	7326	7656	27087	4793	4602	4632	28347	32141	32054	16408	0	0	9321	5284	3491	21284	23559	7309	7401	0	0
NZ_APHY01000001.1 Megasphaera sp. NM10 Contig01, whole genome shotgun sequence	20694	21604	17711	23232	33606	30171	28027	28246	9928	18957	21317	16	0	0	1230	3705	3338	3543	0	63656	28539	20547	25919	38753	31415	28421	29755	8763	9440	9856	8912	26	0	849	297	541	0	0	362	25647	0	0
